# Definitions in `src/` carrying `callconv(.c)`, by what reaches them.
# Generated by `./res/check/callconv.janet`; do not edit.
#
# See that file's header for what each class means and what it cannot see.
#
# **Class `residue` must be empty.**
#
#   export    2
#   slot      87
#   callback  23
#   residue   0
#
#   not definitions: 124 `extern fn` declarations, 111 function-pointer types
#
# columns: class  site  function

callback  api/abstract_type.zig:129                    gc
callback  api/abstract_type.zig:132                    gcmark
callback  api/abstract_type.zig:135                    gcperthread
slot      api/abstract_type.zig:159                    compare
slot      api/abstract_type.zig:162                    hash
slot      api/abstract_type.zig:168                    bytes
callback  api/abstract_type.zig:178                    chunk
slot      api/raise.zig:175                            abi
slot      api/raise.zig:180                            abi
slot      api/raise.zig:185                            abi
slot      api/raise.zig:190                            abi
slot      api/raise.zig:195                            abi
slot      api/raise.zig:200                            abi
slot      api/raise.zig:225                            abi
slot      api/raise.zig:230                            abi
slot      api/raise.zig:235                            abi
export    module.zig:782                               modConfig
export    module.zig:794                               modInit
slot      runtime/args.zig:1175                        dictionaryChunkAbi
slot      runtime/args.zig:1224                        fixArityAbi
slot      runtime/args.zig:1448                        getRangeAbi
slot      runtime/args.zig:1514                        indexedChunkAbi
slot      runtime/args.zig:1664                        toDictionaryAbi
slot      runtime/args.zig:1675                        toIndexedAbi
slot      runtime/args.zig:581                         abi
slot      runtime/args.zig:587                         abi
slot      runtime/args.zig:964                         bytesViewAbi
slot      runtime/args.zig:981                         checkArityAbi
callback  runtime/capi.zig:211                         trampoline
slot      runtime/capi.zig:261                         janet_abstract
slot      runtime/capi.zig:269                         janet_array_push_value
slot      runtime/capi.zig:274                         janet_buffer_push_value
slot      runtime/capi.zig:279                         janet_get
slot      runtime/capi.zig:284                         janet_length
slot      runtime/capi.zig:289                         janet_put
slot      runtime/capi.zig:302                         janet_buffer_push_bytes
slot      runtime/capi.zig:314                         janet_call_value
slot      runtime/capi.zig:324                         janet_mcall
slot      runtime/capi.zig:330                         janet_calloc
slot      runtime/capi.zig:335                         janet_free
slot      runtime/capi.zig:342                         janet_cfuns_ext
slot      runtime/capi.zig:347                         janet_def
slot      runtime/capi.zig:353                         janet_checkint
slot      runtime/capi.zig:359                         janet_cstring
slot      runtime/capi.zig:369                         janet_current_loop
slot      runtime/capi.zig:375                         janet_fiber_status_value
slot      runtime/capi.zig:383                         janet_gcroot
slot      runtime/capi.zig:388                         janet_gcunroot
slot      runtime/capi.zig:394                         janet_getmethod
slot      runtime/capi.zig:403                         janet_mark
slot      runtime/capi.zig:421                         janet_marshal_abstract
slot      runtime/capi.zig:426                         janet_marshal_byte
slot      runtime/capi.zig:431                         janet_marshal_bytes
slot      runtime/capi.zig:436                         janet_marshal_flags
slot      runtime/capi.zig:441                         janet_marshal_int
slot      runtime/capi.zig:446                         janet_marshal_int64
slot      runtime/capi.zig:451                         janet_marshal_janet
slot      runtime/capi.zig:456                         janet_marshal_ptr
slot      runtime/capi.zig:461                         janet_marshal_size
slot      runtime/capi.zig:466                         janet_unmarshal_abstract
slot      runtime/capi.zig:471                         janet_unmarshal_abstract_reuse
slot      runtime/capi.zig:476                         janet_unmarshal_byte
slot      runtime/capi.zig:481                         janet_unmarshal_bytes
