# Every C-compatible layout, with the evidence that fixes it.
# Generated by `./tools/check/layouts.janet`; do not edit.
#
# `abi`   the type, or a pointer to it, is in a `callconv(.c)` signature
# `field` it is a by-value field of another `extern` layout
# `repr`  something reads its representation -- `@sizeOf`, `@offsetOf`,
#         `@bitCast`, `@ptrCast`, `std.mem.zeroes`, a `memcpy`
# `host`  its file translates a header, or a platform defines the name
#
# A row with no evidence is migration residue: `extern` because the C
# implementation's was.  **The compiler checks only `abi` and `field`** --
# stripping `extern` from all of them builds once those are restored, and
# the binary then aborts in the bootstrap.  See this tool's header.
#
# layouts  63
# residue  2
#
# columns: class  name  file:line  evidence

fixed    Aapcs64ReturnGeneral         ffi/call.zig:116                   abi,host
fixed    Aapcs64ReturnPointer         ffi/call.zig:124                   abi,host,repr
fixed    Aapcs64ReturnSse             ffi/call.zig:117                   abi,host
fixed    AbstractHead                 abi.zig:373                        repr
residue  AbstractNative               ffi.zig:31                         
fixed    AssembleResult               bytecode.zig:40                    abi
fixed    Binding                      registry.zig:648                   abi
fixed    BuildConfig                  abi.zig:212                        abi
fixed    ByteView                     abi.zig:233                        abi
fixed    CMethod                      method_type.zig:46                 abi,field,repr
fixed    DictView                     args.zig:84                        abi
fixed    FILETIME                     cabi.zig:457                       host
fixed    Fiber                        value/fibers.zig:888               abi,field
fixed    FuncEnvRef                   value/functions.zig:465            abi,repr
fixed    Function                     value/functions.zig:297            field,repr
fixed    GCData                       abi.zig:309                        abi,field,repr
fixed    GCObject                     abi.zig:325                        abi,field,repr
fixed    GenericMessage               ev.zig:1748                        abi,field,repr
fixed    ITimerSpec                   cabi.zig:521                       abi,host
fixed    JittedFn                     ffi/call.zig:896                   host,repr
fixed    KV                           value/tables.zig:586               field,repr
fixed    Layout                       ffi/types.zig:582                  abi
fixed    Mapping                      ffi/types.zig:184                  field
fixed    Method                       abi.zig:201                        abi,repr
fixed    Nanbox32Payload              repr.zig:102                       field,repr
fixed    Nanbox32Tagged               repr.zig:108                       field
fixed    OVERLAPPED                   filewatch/abi.zig:93               abi,field,host
fixed    OVERLAPPED                   net.zig:139                        abi,field,host
fixed    OVERLAPPED                   cabi.zig:503                       abi,field,host
fixed    OptValue                     net.zig:846                        host
fixed    Overlapped                   net.zig:147                        field,host,repr
fixed    Overlapped                   ev/stream.zig:53                   field,host,repr
fixed    Overlapped                   filewatch/abi.zig:104              field,host,repr
fixed    OverlappedWatch              filewatch.zig:547                  host,repr
fixed    Range                        args.zig:90                        abi
fixed    Reg                          abi.zig:178                        abi
fixed    ScratchBlock                 gc.zig:164                         repr
fixed    SecurityAttributes           cabi.zig:512                       host
fixed    SelfPipeEvent                ev.zig:768                         repr
residue  Signature                    ffi/types.zig:212                  
fixed    SignedHead                   value/structs.zig:91               repr
fixed    SignedHead                   value/strings.zig:78               repr
fixed    SignedHead                   value/tuples.zig:72                repr
fixed    State                        filewatch.zig:349                  host,repr
fixed    Stream                       ev/stream.zig:1057                 field,repr
fixed    StringHead                   value/strings.zig:64               repr
fixed    Struct                       ffi/types.zig:165                  field,repr
fixed    StructHead                   value/structs.zig:77               repr
fixed    StructMember                 ffi/types.zig:157                  repr
fixed    Sysv64IntReturn              ffi/call.zig:111                   host
fixed    Sysv64IntSseReturn           ffi/call.zig:113                   host
fixed    Sysv64SseIntReturn           ffi/call.zig:114                   host
fixed    Sysv64SseReturn              ffi/call.zig:112                   host
fixed    TaggedPayload                repr.zig:114                       field,repr
fixed    ThreadInit                   ev.zig:777                         repr
fixed    TupleHead                    value/tuples.zig:59                repr
fixed    Type                         ffi/types.zig:139                  field
fixed    TypeNode                     ffi/classify.zig:101               repr
fixed    Value                        repr.zig:125                       abi,field,repr
fixed    WSABUF                       cabi.zig:561                       host
fixed    pthread_attr_t               host.zig:47                        abi,host
fixed    pthread_mutex_t              host.zig:49                        host
fixed    utimbuf                      cabi.zig:527                       abi,host
